iter	Passed	Remaining
0	143	143107
1	145	72407
2	146	48792
3	148	36955
4	150	29859
5	151	25122
6	153	21810
7	155	19316
8	158	17407
9	159	15809
10	161	14500
11	162	13410
12	164	12489
13	166	11702
14	168	11055
15	169	10447
16	170	9884
17	172	9408
18	173	8963
19	174	8574
20	176	8240
21	178	7947
22	180	7657
23	181	7391
24	183	7149
25	185	6956
26	188	6779
27	190	6629
28	193	6482
29	195	6321
30	197	6173
31	199	6040
32	201	5893
33	202	5748
34	203	5614
35	205	5491
36	206	5378
37	208	5275
38	209	5168
39	211	5084
40	213	5001
41	215	4916
42	216	4823
43	217	4729
44	218	4642
45	219	4562
46	221	4481
47	222	4420
48	224	4352
49	225	4293
50	227	4238
51	228	4174
52	230	4114
53	231	4056
54	232	3999
55	233	3941
56	235	3888
57	240	3907
58	242	3862
59	243	3822
60	245	3782
61	247	3739
62	248	3696
63	250	3657
64	251	3619
65	252	3578
66	254	3550
67	256	3515
68	257	3476
69	258	3437
70	259	3397
71	260	3363
72	262	3327
73	263	3291
74	264	3256
75	265	3222
76	266	3188
77	268	3169
78	270	3148
79	271	3121
80	272	3092
81	273	3062
82	274	3028
83	276	3011
84	277	2988
85	278	2964
86	281	2956
87	283	2936
88	284	2913
89	286	2894
90	288	2884
91	291	2878
92	293	2857
93	294	2840
94	299	2854
95	300	2832
96	302	2815
97	305	2807
98	306	2791
99	308	2776
100	310	2760
101	312	2748
102	314	2739
103	317	2731
104	318	2714
105	319	2697
106	321	2683
107	322	2666
108	324	2648
109	325	2634
110	326	2618
111	329	2613
112	331	2601
113	332	2586
114	334	2571
115	335	2559
116	337	2548
117	339	2536
118	340	2522
119	342	2509
120	344	2502
121	346	2492
122	348	2481
123	349	2467
124	350	2452
125	353	2453
126	355	2447
127	357	2437
128	358	2422
129	359	2408
130	360	2393
131	361	2378
132	362	2365
133	364	2353
134	365	2339
135	406	2584
136	425	2681
137	461	2882
138	462	2867
139	463	2850
140	465	2833
141	465	2814
142	466	2797
143	468	2783
144	469	2767
145	470	2752
146	486	2822
147	487	2808
148	488	2792
149	489	2776
150	490	2759
151	492	2745
152	493	2730
153	494	2717
154	495	2702
155	496	2687
156	497	2671
157	498	2655
158	499	2641
159	500	2627
160	501	2611
161	502	2597
162	503	2584
163	504	2570
164	505	2557
165	506	2544
166	507	2530
167	508	2518
168	509	2505
169	510	2493
170	511	2481
171	512	2468
172	513	2455
173	514	2444
174	516	2434
175	517	2424
176	518	2412
177	519	2401
178	520	2388
179	521	2376
180	522	2364
181	523	2353
182	524	2341
183	525	2329
184	526	2317
185	527	2306
186	528	2299
187	530	2289
188	531	2280
189	532	2271
190	533	2261
191	534	2250
192	535	2240
193	536	2229
194	537	2220
195	538	2210
196	539	2200
197	540	2190
198	541	2180
199	542	2171
200	543	2162
201	545	2153
202	546	2144
203	547	2135
204	548	2126
205	549	2116
206	550	2107
207	551	2098
208	551	2088
209	552	2079
210	553	2070
211	554	2061
212	555	2052
213	556	2044
214	558	2039
215	560	2034
216	561	2026
217	562	2018
218	563	2009
219	564	2001
220	565	1993
221	566	1984
222	567	1976
223	568	1968
224	569	1960
225	570	1952
226	570	1944
227	572	1938
228	574	1932
229	575	1927
230	576	1920
231	577	1912
232	578	1905
233	579	1897
234	580	1889
235	581	1881
236	582	1874
237	582	1866
238	583	1858
239	584	1850
240	585	1843
241	586	1836
242	587	1829
243	588	1823
244	589	1816
245	590	1808
246	590	1801
247	591	1794
248	592	1787
249	593	1779
250	594	1772
251	594	1765
252	595	1758
253	596	1752
254	597	1745
255	598	1738
256	598	1731
257	599	1724
258	600	1719
259	602	1715
260	604	1711
261	605	1706
262	607	1702
263	608	1697
264	609	1691
265	611	1686
266	612	1680
267	613	1675
268	614	1670
269	616	1667
270	618	1662
271	619	1659
272	621	1654
273	622	1649
274	623	1644
275	624	1639
276	626	1634
277	627	1629
278	628	1624
279	630	1620
280	631	1616
281	633	1611
282	634	1606
283	635	1601
284	636	1596
